;nodAseq1;nodAseq2;nodAseq3;nodAseq4;nodAseq5;nodAseq6;nodAseq8;nodAseq9;nodAseq10;nodAseq11;nodAseq12;nodAseq13;nodAseq14;nodAseq15;nodAseq16;nodAseq17;nodAseq18;nodAseq19;nodAseq20;nodAseq21;nodAseq22;nodDseq1;nodDseq2;nodDseq3;nodDseq5;nodDseq6;nodDseq7;nodDseq8;nodDseq10;nodDseq11;nodDseq12;nodDseq13;nodDseq14;nodDseq16;nodDseq17;nodDseq18;nodDseq19;nodDseq20;recAseq1;recAseq2;recAseq3;recAseq4;recAseq5;recAseq6;recAseq7;recAseq8;recAseq9;recAseq10;recAseq11;recAseq12;recAseq13;rpoBseq1;rpoBseq2;rpoBseq3;rpoBseq4;rpoBseq5;rpoBseq6;rpoBseq7;rpoBseq8;rpoBseq9;rpoBseq10;rpoBseq11;rpoBseq12;rpoBseq13;rpoBseq14;rpoBseq15;rpoBseq16
97;5;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;16;0;5;0;0;0;0;0;0;0;42;12;0;0;0;0;1;0;0;0;0;0;0;0;0;0
98;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;12;0;0;6;0;0;0;0;0;0;0;0;0;57;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0
99;85;0;0;23;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;106;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;399;0;0;32;0;0;0;0;0;0;0;0;0;120;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;2;0;3;0;0;0;0;0;0;0;16;35;0;0;0;0;5;0;0;0;0;0;0;0;0;0
101;1;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;58;0;0;68;0;1;0;0;0;0;0;0;0;74;30;0;0;0;0;2;0;0;0;0;0;0;0;0;0
102;9;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;94;0;0;9;0;4;0;0;0;0;0;0;0;13;31;0;0;0;0;1;0;0;0;0;0;0;0;0;0
103;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;17;0;0;0;0;0;0;0;0;0;23;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0
104;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;4;0;0;0;0;0;0;0;0;0;19;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105;25;0;0;43;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;0;0;44;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;10;0;0;61;0;9;0;0;0;0;0;0;0;113;12;0;0;0;0;20;0;0;0;0;0;0;0;0;0
106;3;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;17;0;5;0;0;0;0;0;0;0;79;8;0;0;0;0;2;0;0;0;0;0;0;0;0;0
107;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;22;0;0;7;0;2;0;0;0;0;0;0;0;48;10;0;0;0;0;3;0;0;0;0;0;0;0;0;0
108;1;0;0;21;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;33;0;1;0;0;0;0;0;0;0;78;8;0;0;0;0;4;0;0;0;0;0;0;0;0;0
109;14;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78;0;0;0;0;2;0;0;0;0;0;0;0;30;74;0;0;0;0;1;0;0;0;0;0;0;0;0;0
110;18;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;7;0;6;0;0;0;0;0;0;0;70;34;0;0;0;0;16;0;0;0;0;0;0;0;0;0
111;8;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;8;0;0;0;0;0;0;0;0;0;52;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112;22;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;3;0;0;0;0;0;0;0;0;0;116;50;0;0;0;0;7;0;0;0;0;0;0;0;0;0
113;21;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;5;0;0;0;0;0;0;0;26;12;0;0;0;0;23;0;0;0;0;0;0;0;0;0
114;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;5;0;4;0;0;0;0;0;0;0;89;17;0;0;0;0;9;0;0;0;0;0;0;0;0;0
115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0
116;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
118;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
119;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;1;0;0;0;0;0;0;0;49;15;0;0;0;0;2;0;0;0;0;0;0;0;0;0
120;3;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;11;0;0;3;0;0;0;0;0;0;0;0;0;55;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0
121;12;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;0;0;4;0;9;0;0;0;0;0;0;0;81;36;0;0;0;0;12;0;0;0;0;0;0;0;0;0
122;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;19;0;0;5;0;0;0;0;0;0;0;0;0;24;11;1;0;0;0;1;0;0;0;0;0;0;0;0;0
123;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0
125;12;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;63;0;0;1;0;0;0;0;0;0;0;0;0;67;36;0;0;0;0;1;0;0;0;0;0;0;0;0;0
