	seqr_1	seqr_2	seqr_3	seqr_4	seqr_5	seqr_6	seqr_7	seqr_8	seqr_9	seqr_10	seqr_11	seqr_12	seqr_13	seqr_14	seqr_15	seqr_16	seqr_17	seqr_18	seqr_19	seqr_20	seqr_21	seqr_22	seqr_23	seqr_24	seqr_25	seqr_26	seqr_27	seqr_28	seqr_29	seqr_30	seqr_31	seqr_32	seqr_33	seqr_34	seqr_35	seqr_36	seqr_37	seqr_38	seqr_39	seqr_40	seqr_41	seqr_42	seqr_43	seqr_44	seqr_45	seqr_46	seqr_47	seqr_48	seqr_49	seqr_50	seqr_51	seqr_52	seqr_53	seqr_54	seqr_55	seqr_56	seqr_57	seqr_58	seqr_59	seqr_60	seqr_61	seqr_62	seqr_63	seqr_64	seqr_65	seqr_66	seqr_67	seqr_68	seqr_69	seqr_70	seqr_71	seqr_72	seqr_73	seqr_74	seqr_75	seqr_76	seqr_77	seqr_78	seqr_79	seqr_80	seqr_81	seqr_82	seqr_83	seqr_84	seqr_85	seqr_86	seqr_87	seqr_88	seqr_89	seqr_90	seqr_91	seqr_92	seqr_93	seqr_94	seqr_95	seqr_96	seqr_97	seqr_98	seqr_99	seqr_100	seqr_101	seqr_102	seqr_103	seqr_104	seqr_105	seqr_106	seqr_107	seqr_108	seqr_109	seqr_110	seqr_111	seqr_112	seqr_113
128_rpob	4	1	11229	0	0	3993	0	0	0	3852	0	0	0	0	0	0	0	0	0	0	0	0	1106	0	0	0	0	0	15	0	0	0	0	0	25	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	374	0	0	0	455	0	0	0	89	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	542	0	0	0	144	0	0	0	34	0	0	0	0	0	0	186	0	0	0	9	0	0	0	0	259	0	0	0	0	0	117	
129_rpob	11	4	9424	2	0	15749	0	0	0	10487	0	0	0	0	0	0	0	0	0	0	0	0	3987	0	1	1	0	0	247	0	0	0	0	0	1780	0	0	0	0	1	0	0	0	385	0	0	0	0	0	0	0	0	0	0	0	0	573	0	0	0	1695	0	0	0	193	0	0	0	0	0	617	0	0	0	0	0	0	0	0	0	0	0	865	0	0	0	559	0	0	0	379	0	0	0	0	0	0	1423	0	0	0	721	0	0	0	0	653	0	0	0	0	0	309	
12_rpob	17291	23241	3938	3922	157	79	142	1	0	0	1811	0	0	36	82	823	60	1	0	1	44	1045	8	42	366	56	0	1	20	1	0	1522	73	0	0	15	3025	0	123	80	0	557	0	264	0	0	130	504	1	0	6	26	2	0	4	0	0	23	0	47	0	295	47	0	0	17	2	61	9	2	7	75	16	22	797	0	0	0	153	1	0	194	3	4	0	76	2	0	2	2	2	18	0	113	1078	98	1	0	0	1593	3	0	1	243	0	14	3	8	0	0	1	0	1	
130_rpob	2	1	9421	1	0	10442	0	0	0	10450	1	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	28	0	0	1	0	1	1656	0	0	0	0	0	0	0	0	578	0	0	0	0	0	0	0	0	0	0	0	0	649	0	0	0	5	0	0	0	13	0	0	0	0	0	618	0	0	0	1	0	0	0	0	0	0	0	9	0	0	0	345	0	0	0	450	0	0	0	1	0	1	9	0	0	0	655	0	0	0	0	103	0	0	0	0	0	12	
131_rpob	20247	17426	17	2997	63	62	0	0	0	0	721	0	0	77	0	497	0	434	0	0	0	450	1	0	290	33	0	1	16	0	0	103	18	441	0	4	0	0	93	218	300	0	0	3	0	470	212	180	0	0	0	234	1	0	1	456	1	347	0	0	0	1	204	175	0	0	244	133	0	1	6	105	0	1	14	0	0	0	74	0	0	127	0	400	0	15	2	0	0	198	0	0	0	17	12	111	346	0	0	0	0	0	1	2	0	285	0	0	0	0	313	137	376	
132_rpob	6980	2933	1169	1663	21	44	13	0	0	1	1244	0	0	60	4	677	7	2039	0	0	8	303	15	3	187	7	0	0	14	0	0	534	0	860	1	16	0	0	216	127	981	0	0	156	0	503	78	97	0	1	4	115	0	0	0	114	4	372	0	0	0	1	82	374	0	1	114	36	6	0	9	110	1	2	403	0	0	0	160	0	0	98	0	57	0	82	2	0	0	196	0	1	0	127	163	16	0	0	0	0	0	0	0	3	0	166	6	0	0	0	43	184	0	
133_rpob	21384	9942	9	3493	87	32	0	0	0	1	1986	0	0	175	0	1433	0	2593	0	0	0	702	2	0	391	290	1	0	31	5	0	47	131	1395	1	25	0	0	348	477	1194	0	0	0	0	951	336	93	0	0	7	812	9	0	3	564	0	868	0	1	0	3	542	559	0	0	332	339	0	0	3	303	0	0	1	0	0	0	271	0	0	87	0	246	0	630	0	0	0	459	0	0	0	766	0	157	8	0	0	0	0	0	2	3	0	394	0	34	0	0	228	352	4	
134_rpob	10679	4329	92	1327	96	22	0	0	0	1	1036	0	0	86	0	739	0	1318	0	0	0	296	5	0	159	8	0	0	19	0	0	108	5	729	0	7	29	0	148	156	544	0	0	18	0	413	96	59	0	0	7	259	0	0	1	533	0	378	0	0	0	0	117	279	0	0	123	119	0	1	1	72	0	0	44	0	0	0	131	0	0	66	0	266	0	66	2	0	0	217	0	0	0	88	24	40	1	0	0	15	0	0	0	3	0	160	0	1	0	0	224	152	0	
135_rpob	15878	7200	265	1117	152	231	0	1	0	0	614	0	0	188	0	567	0	445	0	0	0	305	10	0	259	13	0	1	20	1	0	390	8	507	0	8	0	0	90	303	266	0	0	33	0	319	189	208	0	1	6	468	0	0	0	309	0	395	0	1	1	7	284	138	0	0	152	236	0	0	24	102	0	0	230	0	0	0	99	0	0	214	0	260	0	296	9	0	0	250	0	0	0	249	107	121	43	0	0	0	0	0	0	2	0	161	2	0	0	0	236	115	7	
136_rpob	12844	9058	542	2679	115	703	0	0	0	2	1518	0	0	156	0	1040	0	1512	0	0	0	761	31	0	422	5	0	2	41	3	1	888	7	998	0	25	0	0	239	354	965	0	0	115	0	891	326	399	0	0	15	346	0	0	1	614	0	591	0	0	2	10	224	362	0	0	389	198	0	2	113	285	0	0	360	0	0	0	179	0	0	292	1	432	0	77	22	1	0	410	0	0	0	43	249	139	5	0	0	0	1	0	2	2	0	484	2	3	0	0	382	376	0	
137_rpob	9634	10138	89	1565	137	358	0	0	0	0	675	0	0	130	0	487	0	268	0	0	0	504	27	0	244	8	0	4	29	5	0	611	15	334	0	12	0	0	85	303	263	0	0	29	0	397	360	460	0	1	12	419	0	0	3	183	0	304	0	1	11	19	457	128	0	0	291	261	0	0	85	152	0	0	91	0	0	0	76	0	0	229	0	277	0	430	10	0	0	227	0	0	0	212	105	251	9	1	0	0	4	0	6	4	0	286	1	1	0	0	186	135	1	
138_rpob	7832	2510	57	219	3	13	0	0	0	0	53	0	0	13	0	58	0	15	0	0	0	20	0	0	72	6	0	0	0	0	0	71	0	52	0	0	0	0	6	79	13	0	0	4	0	23	24	83	0	0	0	134	0	0	0	130	1	43	0	3	0	2	48	10	0	0	9	111	0	1	2	2	0	0	83	0	0	0	5	0	0	105	0	143	0	12	0	0	0	22	0	0	0	5	38	22	4	0	0	0	0	0	0	0	0	18	0	0	0	0	104	7	0	
139_rpob	2	1	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13_rpob	47079	38372	207	9388	3038	1	1581	103	116	1	1560	3	24	1132	930	934	789	1	91	80	665	771	208	423	964	688	40	54	386	76	49	489	608	0	0	71	168	1	225	343	0	5845	4	13	1	0	293	1498	45	6	60	73	48	2	44	0	0	44	2	4526	290	2557	70	10	0	337	20	849	275	42	0	261	232	346	55	0	18	0	164	19	17	430	1	18	4	462	0	26	16	10	0	274	27	3	65	717	0	0	13	115	26	0	29	2659	12	28	1	21	5	0	1	11	0	
140_rpob	1	2	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
141_rpob	5	1	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
142_rpob	2	1	2	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
