	seqr_1	seqr_2	seqr_3	seqr_4	seqr_5	seqr_6	seqr_7	seqr_8	seqr_9	seqr_10	seqr_11	seqr_12	seqr_13	seqr_14	seqr_15	seqr_16	seqr_17	seqr_18	seqr_19	seqr_20	seqr_21	seqr_22	seqr_23	seqr_24	seqr_25	seqr_26	seqr_27	seqr_28	seqr_29	seqr_30	seqr_31	seqr_32	seqr_33	seqr_34	seqr_35	seqr_36	seqr_37	seqr_38	seqr_39	seqr_40	seqr_41	seqr_42	seqr_43	seqr_44	seqr_45	seqr_46	seqr_47	seqr_48	seqr_49	seqr_50	seqr_51	seqr_52	seqr_53	seqr_54	seqr_55	seqr_56	seqr_57	seqr_58	seqr_59	seqr_60	seqr_61	seqr_62	seqr_63	seqr_64	seqr_65	seqr_66	seqr_67	seqr_68	seqr_69	seqr_70	seqr_71	seqr_72	seqr_73	seqr_74	seqr_75	seqr_76	seqr_77	seqr_78	seqr_79	seqr_80	seqr_81	seqr_82
132_reca	7734	1210	0	7	390	3	962	666	40	786	266	3165	0	0	0	0	715	0	861	0	0	3	1259	827	83	315	1	232	339	648	378	0	0	895	329	0	25	119	0	51	0	8	0	3	0	454	0	4	1	0	0	158	14	9	0	0	0	0	0	0	0	336	254	161	0	0	0	91	253	302	0	71	0	18	3	0	1	152	41	14	170	0	
133_reca	8551	30	0	2	1054	5	276	542	17	338	204	2276	0	0	0	1	11	0	330	0	0	2	426	357	114	93	4	30	246	302	20	0	0	395	442	1	13	79	0	63	0	7	0	2	0	213	0	0	102	0	0	5	19	0	0	0	0	0	0	0	0	134	125	51	0	0	0	69	136	132	0	23	0	21	5	0	0	44	18	2	29	0	
134_reca	13824	133	0	6	180	9	445	848	35	832	440	1391	0	0	0	0	113	0	842	0	0	1	721	742	102	718	9	275	477	550	74	0	0	598	349	0	68	207	0	35	0	10	0	2	0	315	62	6	479	0	0	48	5	2	0	0	0	0	0	0	0	185	210	248	0	0	0	167	198	184	0	139	0	27	5	0	0	134	111	5	132	0	
135_reca	13964	623	0	6	436	7	1043	571	10	706	678	645	0	0	0	1	536	1	543	1	0	10	411	396	128	260	2	159	746	335	211	0	0	265	600	0	105	161	0	70	0	9	0	5	0	131	0	10	52	0	0	190	19	7	0	0	0	0	0	0	0	130	117	95	0	0	0	226	101	79	0	80	0	48	7	0	1	82	54	3	84	0	
136_reca	13433	1394	0	3	223	9	1282	596	25	993	359	2202	0	0	0	0	898	0	982	0	0	8	1010	839	91	426	2	281	423	675	393	0	0	681	389	0	58	166	0	34	0	13	1	3	0	422	0	6	0	0	0	298	8	15	0	48	0	0	0	0	0	308	250	168	0	0	0	112	238	266	0	122	0	20	7	0	2	167	82	3	175	0	
137_reca	11817	429	0	4	383	10	1224	701	22	877	601	403	0	0	0	1	573	0	601	0	0	17	358	470	74	332	4	216	475	385	207	3	0	227	269	2	127	224	0	80	0	15	1	9	0	165	0	15	0	0	0	198	17	4	0	0	0	0	0	0	0	141	138	119	0	0	0	211	89	68	0	102	0	52	10	0	0	101	58	12	109	1	
138_reca	3182	39	0	1	8	5	80	17	0	77	99	18	0	0	0	0	39	0	29	0	0	0	15	10	41	21	2	14	70	16	7	0	0	9	63	1	13	11	0	1	0	2	0	0	0	8	0	1	0	0	0	27	0	1	0	0	0	0	0	0	0	1	1	5	0	0	0	25	6	1	0	3	0	0	2	0	0	4	7	0	2	0	
139_reca	32509	547	0	8	972	21	1983	1052	27	1376	2466	863	0	0	0	0	706	1	729	0	0	207	582	498	273	490	21	196	2655	452	224	165	0	367	2267	8	455	301	0	175	0	34	3	27	0	194	651	103	192	0	1	245	58	3	0	0	1	0	0	0	0	150	152	178	0	0	0	646	121	123	0	111	0	202	15	0	3	119	86	4	116	0	
13_reca	87465	139	184	16342	4565	6373	3165	2180	634	1272	693	0	108	5	56	128	67	118	98	61	0	0	1	0	1307	185	69	257	500	2	84	0	1	1	477	0	132	727	0	677	0	186	0	1	0	0	366	8	0	1	11	85	21	2	0	0	36	1	1	2	8	0	0	0	0	0	0	117	0	0	6	88	5	38	58	1	1	7	92	120	0	185	
140_reca	21484	8	0	4	13	45	285	757	48	872	17	653	0	0	0	0	2	0	1125	0	0	0	605	853	179	811	4	417	2	580	22	0	0	360	0	0	15	336	0	7	0	23	0	2	0	304	37	4	127	0	0	18	0	0	0	0	0	0	0	0	0	171	177	251	0	0	0	4	156	124	0	207	0	0	12	0	0	159	165	15	184	0	
